food,emissions,price,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
Wheat & Rye (Bread),0.0014,0.00145,100,2.67,0.032,0.008,0.0,5.08,0.187,0.85,0.2,0.0562,0.0,0.00253,0.00415,0.02,0.0,0.0,0.01,0.0,0.44,0.0,0.0,0.00111,0.002,0.0,0.0019,0.0019,0.049,1.33,0.00159,0.0349,0.45,0.01177,1.49,1.77,0.288,0.0118999999999999,0.1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4868,0.04,0.0591,0.0245,0.0,0.0178,0.0,0.0168,0.0,0.0324,0.00777,0.00607,0.01499,0.0,0.0,0.0216,0.0,0.0,0.352
Maize (Meal),0.0011,0.00064,100,3.45,0.016,0.003,0.0,0.04,0.3779999999999999,0.08,0.0,0.06269,0.00145,0.00114,0.0037,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.00396,0.0,0.0,0.0056999999999999,0.0056999999999999,0.022,0.32,0.00343,0.0268,0.96,0.01034,2.96,3.09,0.377,0.02,0.105,0.00409,0.00526,0.00655,0.00232,0.02741,0.0038,0.0023599999999999,0.0,0.00383,0.00713,0.00391,0.00202,0.0058899999999999,0.01247,0.00443,0.00356,0.0017499999999999,0.00301,0.00515,0.7452,0.1009999999999999,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.00335,0.0020499999999999,0.00771,0.0,0.0,0.0128,0.0,0.0,0.1211
Barley (Beer),0.0011,0.00148,100,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0011,0.0,0.0,0.9277
Oats,0.0016,0.00197,100,3.89,0.069,0.012,0.0,0.02,0.0,0.56,0.0,0.00961,0.01349,0.00139,0.00763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011899999999999,0.0,0.0,0.0,0.0,0.0,0.54,0.00626,0.0472,1.77,0.04916,5.23,4.29,0.0,0.0397,0.1689,0.00881,0.01192,0.01448,0.0040799999999999,0.03712,0.0084099999999999,0.00405,0.0,0.0069399999999999,0.01284,0.00701,0.00312,0.00895,0.00934,0.0075,0.00575,0.00234,0.00573,0.00937,0.6627,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.01217,0.02178,0.02535,0.0,0.0,0.0172,0.0,0.0,0.0822
Rice,0.004,0.00134,100,3.57,0.011,0.002,0.0,0.07,0.35,0.95,0.0,0.06733,0.01074,0.00262,0.00115,0.19,0.01,0.0,0.11,0.0,2.2,0.0,0.0,0.00391,0.0,0.0,0.0081999999999999,0.0081999999999999,0.019,0.21,0.00524,0.0196,1.77,0.01329,4.33,4.27,0.0279999999999999,0.0596,0.1473,0.00825,0.0113599999999999,0.01419,0.0017399999999999,0.02565,0.00672,0.00384,0.0,0.00618,0.01018,0.00629,0.00438,0.0072099999999999,0.00519,0.00778,0.00469,0.00179,0.00622,0.0085799999999999,0.7490000000000001,0.062,0.025,0.0,0.0,0.0,0.0,0.0,0.0067,0.0108,0.00156,0.00159,0.00676,0.0,0.0,0.0153,0.0,0.0,0.0776
Potatoes,0.0003,0.0028599999999999997,100,0.58,0.001,0.0,0.0,0.1,0.0,0.17,0.0,0.0103299999999999,0.00302,0.0003799999999999,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023899999999999,0.114,0.0,0.0,0.0,0.0,0.3,0.00423,0.0324,0.23,0.00602,0.38,4.13,0.003,0.0034999999999999,0.0256999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1244,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00026,2e-05,0.00043,0.0,0.0,0.0161,0.0,0.0,0.8329000000000001
Cassava,0.0009,0.0014399999999999999,100,1.6,0.003,0.001,0.0,0.14,0.237,0.27,0.0,0.0085399999999999,0.00107,0.00048,0.0008699999999999,0.13,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0008799999999999,0.206,0.0,0.0019,0.0019,0.019,0.16,0.001,0.0027,0.21,0.00384,0.27,2.71,0.0069999999999999,0.0034,0.0136,0.0003799999999999,0.00137,0.00079,0.00028,0.0020599999999999,0.00028,0.0002,0.0,0.00027,0.00039,0.0004399999999999,0.0001099999999999,0.00026,0.00033,0.00033,0.00028,0.0001899999999999,0.00017,0.00035,0.3806,0.018,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.00074,0.00075,0.00048,0.0,0.0,0.0062,0.0,0.0,0.5968
Cane Sugar,0.0026,0.00138,100,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.9919,0.0,0.0,0.0,0.0,0.0,0.9919,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0003
Beet Sugar,0.0014,0.0023799999999999997,100,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.9919,0.0,0.0,0.0,0.0,0.0,0.9919,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0003
Beans,0.0016,0.0033399999999999997,100,3.47,0.012,0.002,0.0,0.12,0.662,5.25,0.0,0.0117399999999999,0.00785,0.00212,0.00713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047399999999999,0.063,0.0,0.0021,0.0021,0.0559999999999999,1.13,0.00893,0.0507,1.76,0.0114799999999999,4.11,13.93,0.2789999999999999,0.0227999999999999,0.2142,0.00872,0.01096,0.02268,0.00187,0.03027,0.00796,0.00556,0.0,0.00871,0.01558,0.01356,0.00259,0.01095,0.01072,0.01171,0.0081,0.0023699999999999,0.0042699999999999,0.00998,0.6255,0.155,0.0210999999999999,0.0,0.0,0.0013,0.0,0.0,0.0197999999999999,0.0123,0.0023499999999999,0.00229,0.00407,0.0,0.0,0.0346,0.0,0.0,0.1133
Peas,0.0007999999999999,0.0014299999999999998,100,0.81,0.004,0.001,0.0,0.05,0.284,0.65,0.0,0.0209,0.00104,0.00132,0.00266,7.65,0.38,0.21,4.49,0.0,24.77,0.0,0.0,0.00169,0.4,0.0,0.0013,0.0013,0.248,0.25,0.0017599999999999,0.0147,0.33,0.0040999999999999,1.08,2.44,0.018,0.0124,0.0542,0.0024,0.00428,0.00496,0.00032,0.00741,0.00184,0.00107,0.0,0.00195,0.00323,0.00317,0.00082,0.002,0.0017299999999999,0.00181,0.00203,0.00037,0.00114,0.0023499999999999,0.1445,0.057,0.0567,0.0039,0.0,0.0012,0.0,0.0017,0.0499,0.004,0.0007099999999999,0.00035,0.00187,0.0,0.0,0.0087,0.0,0.0,0.7886
Nuts,0.0002,0.008400000000000001,100,6.91,0.72,0.062,0.0,0.0,0.405,0.22,0.0,0.01167,0.00863,0.0013,0.0066,0.56,0.03,0.0,0.29,0.09,0.17,0.0,0.0,0.0021,0.011,0.0,0.0139999999999999,0.0139999999999999,0.035,0.7,0.012,0.0253,1.21,0.045,2.77,4.1,0.038,0.0453,0.0917,0.00397,0.01177,0.00929,0.0015199999999999,0.01829,0.00453,0.00262,0.0,0.00336,0.00598,0.0028699999999999,0.00183,0.00426,0.00363,0.0047399999999999,0.00306,0.0009299999999999,0.00215,0.00411,0.1386,0.096,0.0397,0.0004,0.0,0.0004,0.0,0.0,0.039,0.7197,0.0617999999999999,0.40801,0.21614,0.0,0.0,0.0149,0.0,0.0,0.0352
Peanuts,0.0024,0.00145,100,5.67,0.49,0.063,0.0,0.18,0.525,2.4,0.0,0.12066,0.0176699999999999,0.00135,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034799999999999,0.0,0.0,0.0833,0.0833,0.0,0.92,0.0114399999999999,0.0458,1.68,0.01934,3.76,7.05,0.072,0.0327,0.258,0.0102499999999999,0.03085,0.03146,0.00331,0.0538999999999999,0.01554,0.00652,0.0,0.00907,0.01672,0.00926,0.00317,0.01377,0.01138,0.0127099999999999,0.00883,0.0025,0.01049,0.01082,0.1613,0.085,0.0472,0.0,0.0,0.0,0.0,0.0,0.0,0.4924,0.06279,0.2442599999999999,0.15558,0.0,0.0,0.0233,0.0,0.0,0.065
Soymilk,0.001,0.00816,100,0.41,0.017,0.002,0.0,0.49,0.0,0.1,0.0,0.0,0.0,0.0021,0.0,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0123,0.0,0.0,0.49,0.0,0.0,0.0,1.23,0.0,0.0044,0.16,0.0,0.0,1.23,0.023,0.0025,0.0288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329,0.004,0.0247,0.0,0.0,0.0,0.0,0.0,0.0,0.0165,0.0020599999999999,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.9153
Tofu,0.003,0.0012900000000000001,100,0.85,0.042,0.0069999999999999,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,1.49,0.0,0.0169,0.0,0.0,0.0,0.0,0.0,0.0,0.1092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097,0.009,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0419,0.0070999999999999,0.0097,0.0250999999999999,0.0,0.0,0.0105,0.0,0.0,0.8287
Soybean Oil,0.0059999999999999,0.0014399999999999999,100,7.63,1.0,0.15,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0818,0.0818,1.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15005,0.10977,0.4531799999999999,0.0,0.0,0.0,0.0,0.0,0.0
Palm Oil,0.0076,0.01727,100,8.84,1.0,0.49,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1594,0.1594,0.08,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.493,0.37,0.093,0.0,0.0,0.0,0.0,0.0,0.0
Sunflower Oil,0.0035,0.00684,100,8.84,1.0,0.08,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484,0.1484,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08026,0.58537,0.29113,0.0,0.0,0.0,0.0,0.0,0.0
Rapeseed Oil,0.0037,0.00526,100,8.84,1.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.096,0.161,0.6990000000000001,0.0,0.0,0.0,0.0,0.0,0.0
Olive Oil,0.006,0.011779999999999999,100,8.84,1.0,0.14,0.0,0.02,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1435,0.1435,0.602,0.01,0.0,0.0056,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13808,0.72961,0.1052299999999999,0.0,0.0,0.0,0.0,0.0,0.0
Tomatoes,0.0014,0.00431,100,0.16,0.002,0.0,0.0,0.42,0.0,0.29,0.0,0.0059299999999999,0.0018599999999999,0.00034,0.00046,14.96,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.16,0.0,0.0,0.0,0.0,0.05,0.00062,0.0046999999999999,0.08,0.0008799999999999,0.29,2.12,0.004,0.0014,0.0116,0.00033,0.00029,0.00161,0.00015,0.0042699999999999,0.00029,0.0001799999999999,0.0,0.00027,0.00042,0.00042,0.0001,0.0003,0.0002199999999999,0.00031,0.00029,8e-05,0.0002,0.0003,0.0318,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.00025,0.00028,0.0007599999999999,0.0,0.0,0.0069,0.0,0.0,0.9478
